decoder,snr_db_clean,snr_db_zero,accuracy_clean,accuracy_clean_std,precision_clean,recall_clean,specificity_clean,f1_clean,cohens_kappa_clean,auc_clean,accuracy_zero,accuracy_zero_std,precision_zero,recall_zero,specificity_zero,f1_zero,cohens_kappa_zero,auc_zero,delta_accuracy,delta_precision,delta_recall,delta_f1,retention_accuracy,retention_precision,retention_recall,retention_f1
MLE-Normal,Inf,0,0.715909090909091,0.0802019642970613,0.768993506493507,0.653999125874126,0.956929347826087,0.68829489065473,0.662317728319263,0.816750085783705,0.568181818181818,0.0996758812454814,0.602416497975708,0.551542372101583,0.937195199487957,0.544760873016695,0.49706722815461,0.91978872715726,-0.147727272727273,-0.166577008517798,-0.102456753772543,-0.143534017638036,79.3650793650794,78.3383075265012,84.3338087592088,79.1464356939362
MLE-Poisson,Inf,0,0.715909090909091,0.0353031941851148,0.816706730769231,0.761346383879279,0.958940746753247,0.733047910568525,0.673202614379085,0.986559495192308,0.306818181818182,0.134951889478565,0.301143483709273,0.308247837688627,0.899371347615193,0.335340011673992,0.194114997748086,0.645006818620618,-0.409090909090909,-0.515563247059958,-0.453098546190651,-0.397707898894533,42.8571428571429,36.8729033769117,40.487200598237,45.7459883370944
PopVec,Inf,0,0.511363636363636,0.272126284595635,0.63745894909688,0.47099972396025,0.929572275550536,0.497125184702824,0.429948779752938,NaN,0.284090909090909,0.113370906919619,0.272097558238863,0.274528432094222,0.895876323617451,0.267663662615036,0.166942148760331,NaN,-0.227272727272727,-0.365361390858017,-0.196471291866029,-0.229461522087789,55.5555555555556,42.6847185413832,58.2863254750846,53.8423058922355
RandomForest,Inf,0,0.693181818181818,0.0523080025482793,0.643118686868687,0.630570252116305,0.955338331728949,0.629263086313338,0.639672429481347,0.958537177177129,0.306818181818182,0.108199056167227,0.242991135848279,0.24976996687523,0.897788218798401,0.362354368009682,0.180583117081362,0.71985868524681,-0.386363636363636,-0.400127551020408,-0.380800285241075,-0.266908718303655,44.2622950819672,37.7832491590923,39.6101728613042,57.5839225104729
SVM,Inf,0,0.829545454545455,0.0831440885915895,0.814583333333333,0.787062937062937,0.975609942593638,0.796958777937039,0.800784787201932,0.976327683574526,0.397727272727273,0.134710306175041,0.367243867243867,0.349443319838057,0.911837682463337,0.401860965198859,0.293761356753483,0.761237284443669,-0.431818181818182,-0.447339466089466,-0.43761961722488,-0.39509781273818,47.945205479452,45.083646106664,44.398396034511,50.424310055169
kNN,Inf,0,0.818181818181818,0.0652368129989448,0.727548036758563,0.775326647037173,0.973974048367382,0.854497237834614,0.787503773015394,0.952851171239654,0.5,0.0487136420763767,0.483598602484472,0.452528064041222,0.926631750037984,0.459876163108922,0.412264723740134,0.827240057774273,-0.318181818181818,-0.243949434274091,-0.322798582995951,-0.394621074725692,61.1111111111111,66.4696457211325,58.3661177866785,53.8183323183462
